fat_id,path,start,end,size,class,note
177,/battle/btmap_020_mdl.bin,7760384,7814004,53620,container,"in-house EZBIND"
178,/battle/btmap_020_tex.bin,7814144,7825564,11420,container,"in-house EZBIND"
179,/battle/btmap_021_mdl.bin,7825920,7872048,46128,container,"in-house EZBIND"
180,/battle/btmap_021_tex.bin,7872512,7884412,11900,container,"in-house EZBIND"
181,/battle/btmap_022_mdl.bin,7884800,7936576,51776,container,"in-house EZBIND"
182,/battle/btmap_022_tex.bin,7937024,7953268,16244,container,"in-house EZBIND"
183,/battle/btmap_023_mdl.bin,7953408,8004868,51460,container,"in-house EZBIND"
184,/battle/btmap_023_tex.bin,8005120,8014700,9580,container,"in-house EZBIND"
185,/battle/btmap_024_mdl.bin,8014848,8068780,53932,container,"in-house EZBIND"
186,/battle/btmap_024_tex.bin,8069120,8083664,14544,container,"in-house EZBIND"
187,/battle/btmap_025_mdl.bin,8083968,8145012,61044,container,"in-house EZBIND"
188,/battle/btmap_025_tex.bin,8145408,8160084,14676,container,"in-house EZBIND"
189,/battle/btmap_026_mdl.bin,8160256,8212776,52520,container,"in-house EZBIND"
190,/battle/btmap_026_tex.bin,8212992,8228964,15972,container,"in-house EZBIND"
191,/battle/btmap_027_mdl.bin,8229376,8265344,35968,container,"in-house EZBIND"
192,/battle/btmap_027_tex.bin,8265728,8282828,17100,container,"in-house EZBIND"
193,/battle/btmap_028_mdl.bin,8283136,8319104,35968,container,"in-house EZBIND"
194,/battle/btmap_028_tex.bin,8319488,8336588,17100,container,"in-house EZBIND"
195,/battle/btmap_029_mdl.bin,8336896,8372864,35968,container,"in-house EZBIND"
196,/battle/btmap_029_tex.bin,8373248,8390348,17100,container,"in-house EZBIND"
197,/battle/btmap_030_mdl.bin,8390656,8426624,35968,container,"in-house EZBIND"
198,/battle/btmap_030_tex.bin,8427008,8444108,17100,container,"in-house EZBIND"
199,/battle/btmap_031_mdl.bin,8444416,8480384,35968,container,"in-house EZBIND"
200,/battle/btmap_031_tex.bin,8480768,8497868,17100,container,"in-house EZBIND"
201,/battle/btmap_032_mdl.bin,8498176,8534144,35968,container,"in-house EZBIND"
202,/battle/btmap_032_tex.bin,8534528,8551628,17100,container,"in-house EZBIND"
203,/battle/btmap_033_mdl.bin,8551936,8587904,35968,container,"in-house EZBIND"
204,/battle/btmap_033_tex.bin,8588288,8605388,17100,container,"in-house EZBIND"
205,/battle/btmap_034_mdl.bin,8605696,8641664,35968,container,"in-house EZBIND"
206,/battle/btmap_034_tex.bin,8642048,8659148,17100,container,"in-house EZBIND"
207,/battle/btmap_035_mdl.bin,8659456,8695424,35968,container,"in-house EZBIND"
208,/battle/btmap_035_tex.bin,8695808,8712908,17100,container,"in-house EZBIND"
209,/battle/btmap_036_mdl.bin,8713216,8749184,35968,container,"in-house EZBIND"
210,/battle/btmap_036_tex.bin,8749568,8766668,17100,container,"in-house EZBIND"
211,/battle/btmap_037_mdl.bin,8766976,8828996,62020,container,"in-house EZBIND"
212,/battle/btmap_037_tex.bin,8829440,8880848,51408,container,"in-house EZBIND"
213,/battle/btmap_038_mdl.bin,8881152,8947876,66724,container,"in-house EZBIND"
214,/battle/btmap_038_tex.bin,8948224,8996260,48036,container,"in-house EZBIND"
215,/battle/btmap_039_mdl.bin,8996352,9062032,65680,container,"in-house EZBIND"
216,/battle/btmap_039_tex.bin,9062400,9104180,41780,container,"in-house EZBIND"
217,/battle/btmap_040_mdl.bin,9104384,9159536,55152,container,"in-house EZBIND"
